Response ID,Birth Year,Gender,Job Tenure,Industry,Occupation,Organization Size,Household Type,Metro or Regional,Remote Q4 2020,Preferred Remote Q4 2020,Remote This Year,Preferred Remote This Year,Post-COVID Remote,Remote Policy Change,Part-Remote Past 6 Months,Part-Remote Frequency,Part-Remote Preference,Mandatory Workplace Presence,Mandatory Workplace Time,Remote Policy Suitability,Remote Work Choice,Remote Workday Choice,Manager Discretion,Remote Policy Satisfaction,Encouragement of Remote Work,Organization Readiness,Common Remote Work,Ease of Remote Permission,Remote Collaboration,Remote Promotion Concerns,Remote Break Frequency,Employer's Remote Impact,Remote Work Support,Remote Work Encouragement,Remote Work Support Changes,Workplace Time Allocation,Workplace Preparation Time,Workplace Working Time,Workplace Care Responsibilities,Workplace Personal Time,Workplace Sleep Time,Remote Prep and Commute,Remote Working Time,Remote Care Responsibilities,Remote Personal Time,Remote Sleep Time,Pay Cut for Remote Option,Maximum Pay Cut Accepted,Remote Working Barriers (Caring),Change in Connectivity Barrier,Change in Org. Software & Systems Barrier,Change in Collaboration Barrier,Change in Poor Management Barrier,Change in IT Equipment Barrier,Change in Isolation Barrier,Change in Extra Costs Barrier,Change in Cyber Security Barrier,Change in Incompatible Tasks Barrier,Change in Workspace Barrier,Change in Motivation Barrier,Change in Management's Attitude Barrier,Change in Living Situation Barrier,Change in Remote Work Skills Barrier,Change in Health & Safety Barrier,Colleague Remote Work Barriers (Biggest),Colleague Remote Work Barriers (Smallest),Colleague Remote Work Barriers (Biggest 2),Colleague Remote Work Barriers (Smallest 2),Colleague Remote Work Barriers (Biggest 3),Colleague Remote Work Barriers (Smallest 3),Colleague Remote Work Barriers (Biggest 4),Colleague Remote Work Barriers (Smallest 4),Colleague Remote Work Barriers (Biggest 5),Colleague Remote Work Barriers (Smallest 5),Performance of Tasks in Remote Work (Manager Communication),Performance of Tasks in Remote Work (Colleague Communication),Performance of Tasks in Remote Work (Decision Making),Performance of Tasks in Remote Work (Problem Solving),Performance of Tasks in Remote Work (Creativity & Innovation),Performance of Tasks in Remote Work (Technology Use),Performance of Tasks in Remote Work (Time Management),Performance of Tasks in Remote Work (Stress Management),Performance of Tasks in Remote Work (Networking),Performance of Tasks in Remote Work (Team Leadership),Performance of Tasks in Remote Work (Conflict Management),Performance of Tasks in Remote Work (People Management),Performance of Tasks in Remote Work (Presentation Skills),Performance of Tasks in Remote Work (Writing Skills),Performance of Tasks in Remote Work (Analysis & Reporting),Performance of Tasks in Remote Work (Project Management),Performance of Tasks in Remote Work (Financial Management),Performance of Tasks in Remote Work (Productivity & Efficiency),Performance of Tasks in Remote Work (Adaptation to Change),Performance of Tasks in Remote Work (Learning),Performance of Tasks in Remote Work (Self-Motivation),Performance of Tasks in Remote Work (Health & Safety),Performance of Tasks in Remote Work (Networking)_1,Performance of Tasks in Remote Work (Stress Management)_1,Biggest Personal Remote Work Barrier,Economic Impact of Remote Work,Societal Impact of Remote Work,Environmental Impact of Remote Work,Personal Wellbeing Impact of Remote Work,Income/Career Impact of Remote Work,Productivity Impact of Remote Work,Work-Life Balance Impact of Remote Work,Biggest Personal Positive Impact of Remote Work,Biggest Personal Negative Impact of Remote Work
11,1980,Female,Between 1 and 5 years,"Electricity, Gas, Water and Waste",Professionals - ICT Professionals,More than 200,Group household,Metro,90%,80%,80%,80%,90%,Yes,Yes,90%,100% - All of my time,No,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly Positive,They are about the same,Somewhat likely,Very likely,Very likely,2.0,8.0,2.0,4.0,8.0,0.0,8.0,4.0,4.0,8.0,No,0.1,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Significantly improved,Somewhat improved,Somewhat improved,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Im 50% more productive when working remotely (or more),Im 50% more productive when working remotely (or more)
12,1959,Male,Between 1 and 5 years,Construction,Machinery operators and drivers - Mobile Plant Operators,Between 5 and 19,Couple with dependent children,Metro,10%,10%,10%,10%,Less than 10% of my time,Yes,Yes,10%,10%,Yes,80%,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat Negative,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat Negative,They are about the same,Somewhat unlikely,Neither unlikely or likely,Somewhat unlikely,1.0,8.0,3.0,4.0,8.0,1.0,8.0,3.0,4.0,8.0,No,0.1,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Lack of privacy,Noisy work environment,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Interruptions,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Interruptions,Noisy work environment,Lack of appropriate work and meeting spaces,Noisy work environment,Interruptions,Connectivity/internet issues,Lack of privacy,Noisy work environment,Difficulty collaborating with remote colleagues,Noisy work environment,Lack of privacy,Interruptions,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Lack of privacy,Noisy work environment,Lack of privacy,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 20% more productive when working remotely,Im 20% more productive when working remotely
13,1992,Female,Between 6 and 12 months,Other Services,Professionals - ICT Professionals,Between 1 and 4,Couple with dependent children,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,50% - About half of my time,50% - About half of my time,No,Yes,50% - About half of my time,50% - About half of my time,No,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Senior leadership,Very likely,Very likely,Very likely,3.0,8.0,2.0,3.0,8.0,0.0,12.0,2.0,2.0,8.0,No,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Difficulty collaborating with remote colleagues,Noisy work environment,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Noisy work environment,Interruptions,Noisy work environment,Interruptions,Interruptions,Noisy work environment,Difficulty innovating,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Interruptions,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Noisy work environment,Noisy work environment,Difficulty collaborating with remote colleagues,Interruptions,Difficulty collaborating with remote colleagues,Noisy work environment,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 10% less productive when working remotely,Im 10% less productive when working remotely
14,1968,Female,More than 5 years,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,Couple with no dependent children,Metro,50% - I spent about half of my time remote working,20%,50% - I spent about half of my time remote working,20%,I would prefer not to work remotely,Yes,No,Less than 10% of my time,Less than 10% of my time,Yes,50% - About half of my time,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Positive,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly Negative,They are about the same,Very unlikely,Very likely,Very unlikely,2.5,8.0,2.0,3.5,8.0,0.0,8.0,3.0,4.0,9.0,No,0.1,Not a barrier for me,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Somewhat improved,Significantly worsened,Significantly worsened,Significantly worsened,Somewhat worsened,Not a barrier for me,Not a barrier for me,Somewhat worsened,Somewhat improved,Difficulty collaborating with remote colleagues,Lack of privacy,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Interruptions,Connectivity/internet issues,Lack of privacy,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Noisy work environment,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Lack of privacy,Connectivity/internet issues,Noisy work environment,Problems with audio-visual setup,Lack of privacy,Problems with audio-visual setup,Difficulty innovating,Connectivity/internet issues,Lack of privacy,Lack of appropriate work and meeting spaces,Lack of privacy,Problems with audio-visual setup,Noisy work environment,Strongly disagree,Strongly disagree,Strongly agree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 20% less productive when working remotely,Im 50% more productive when working remotely (or more)
15,1976,Male,More than 5 years,"Professional, Scientific and Technical",Professionals - Health Professionals,Between 5 and 19,Single person,Metro,80%,80%,80%,70%,80%,Yes,No,Less than 10% of my time,Less than 10% of my time,No,50% - About half of my time,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat Negative,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither positive nor negative,Senior leadership,Somewhat likely,Somewhat likely,Somewhat likely,1.0,11.0,2.0,1.0,9.0,0.0,12.0,2.0,2.0,8.0,No,0.1,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Interruptions,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Difficulty innovating,Interruptions,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty innovating,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Difficulty innovating,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Somewhat agree,Somewhat agree,Somewhat agree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 40% more productive when working remotely,Im 50% more productive when working remotely (or more)
16,1973,Male,More than 5 years,Education and Training,Professionals - Education Professionals,More than 200,Single person,Metro,30%,50% - About half of my time,10%,20%,40%,No,Yes,30%,40%,Yes,100% - All of my time,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat Positive,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat Negative,They are about the same,Neither unlikely or likely,Somewhat likely,Somewhat likely,3.0,8.0,3.0,2.0,8.0,2.0,8.0,3.0,3.0,8.0,No,0.1,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Difficulty collaborating with remote colleagues,Interruptions,Connectivity/internet issues,Problems with audio-visual setup,Connectivity/internet issues,Interruptions,Lack of privacy,Connectivity/internet issues,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Interruptions,Connectivity/internet issues,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Lack of privacy,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Problems with audio-visual setup,Lack of privacy,Difficulty innovating,Lack of appropriate work and meeting spaces,Noisy work environment,Connectivity/internet issues,Lack of privacy,Lack of appropriate work and meeting spaces,Difficulty innovating,Noisy work environment,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,Yes,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Im 50% more productive when working remotely (or more),Im 50% more productive when working remotely (or more)
17,1972,Female,Between 1 and 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,One parent family with dependent children,Regional,30%,10%,20%,20%,20%,No,Yes,20%,20%,Yes,30%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,My direct manger(s),Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,No,0.1,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Noisy work environment,Interruptions,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Lack of privacy,Difficulty innovating,Interruptions,Connectivity/internet issues,Interruptions,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Interruptions,Lack of appropriate work and meeting spaces,Difficulty innovating,Noisy work environment,Lack of appropriate work and meeting spaces,Difficulty innovating,Interruptions,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Noisy work environment,Difficulty collaborating with remote colleagues,Lack of privacy,Noisy work environment,Problems with audio-visual setup,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 50% more productive when working remotely (or more),Im 50% more productive when working remotely (or more)
18,1977,Female,More than 5 years,Administrative and Support,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,Regional,20%,10%,10%,Less than 10% of my time,10%,Yes,Yes,10%,10%,Yes,10%,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat Positive,Senior leadership,Very likely,Very likely,Very likely,3.0,8.0,3.0,3.0,7.0,1.0,8.0,4.0,3.0,8.0,Yes,0.1,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Difficulty collaborating with remote colleagues,Interruptions,Connectivity/internet issues,Problems with audio-visual setup,Difficulty innovating,Connectivity/internet issues,Connectivity/internet issues,Difficulty innovating,Difficulty innovating,Interruptions,Lack of appropriate work and meeting spaces,Interruptions,Interruptions,Connectivity/internet issues,Difficulty innovating,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Lack of privacy,Problems with audio-visual setup,Lack of appropriate work and meeting spaces,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Problems with audio-visual setup,Lack of privacy,Lack of appropriate work and meeting spaces,Problems with audio-visual setup,Difficulty collaborating with remote colleagues,Somewhat agree,Strongly agree,Somewhat agree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Im 10% more productive when working remotely,Im 10% more productive when working remotely
19,1978,Male,More than 5 years,Construction,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Metro,30%,40%,20%,20%,20%,Yes,Yes,30%,30%,Yes,60%,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly Positive,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Somewhat likely,3.0,8.0,3.0,2.0,8.0,1.0,8.0,4.0,3.0,8.0,Yes,0.1,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Lack of privacy,Noisy work environment,Connectivity/internet issues,Lack of privacy,Lack of appropriate work and meeting spaces,Interruptions,Connectivity/internet issues,Difficulty innovating,Interruptions,Noisy work environment,Noisy work environment,Interruptions,Difficulty collaborating with remote colleagues,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Lack of privacy,Difficulty collaborating with remote colleagues,Lack of appropriate work and meeting spaces,Difficulty innovating,Lack of privacy,Difficulty collaborating with remote colleagues,Problems with audio-visual setup,Connectivity/internet issues,Problems with audio-visual setup,Lack of privacy,Interruptions,Noisy work environment,Difficulty innovating,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Im 10% more productive when working remotely,Im 10% more productive when working remotely
20,1995,Female,Between 1 and 5 years,Retail Trade,Sales workers - Sales Support Workers,More than 200,Other one family household,Metro,80%,100% - All of my time,80%,100% - All of my time,100% - All of my time,Yes,No,Less than 10% of my time,Less than 10% of my time,Yes,20%,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat Positive,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,They are about the same,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,2.5,8.0,3.0,2.5,8.0,0.5,8.0,3.0,4.5,8.0,No,0.1,Not a barrier for me,Somewhat worsened,Somewhat worsened,Not a barrier for me,Not a barrier for me,Somewhat worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Significantly worsened,Somewhat improved,Not a barrier for me,Somewhat worsened,Not a barrier for me,Somewhat improved,Interruptions,Noisy work environment,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty innovating,Connectivity/internet issues,Difficulty innovating,Interruptions,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Difficulty collaborating with remote colleagues,Noisy work environment,Lack of appropriate work and meeting spaces,Connectivity/internet issues,Lack of appropriate work and meeting spaces,Interruptions,Difficulty innovating,Problems with audio-visual setup,Difficulty innovating,Connectivity/internet issues,Problems with audio-visual setup,Interruptions,Lack of appropriate work and meeting spaces,Noisy work environment,Difficulty innovating,Strongly agree,Strongly agree,Somewhat disagree,No,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Im 20% more productive when working remotely,Im 50% more productive when working remotely (or more)
